name,domain,country
Portland State University,pdx.edu,us
King Abdulaziz University,kau.edu.sa,sa
Universidade Nova de Lisboa,unl.pt,pt
China Agricultural University / 中国农业大学,cau.edu.cn,cn
Saint Petersburg State University / Санкт Петербургский государственный университет,spbu.ru,ru
Hunan University / 湖南大学,hnu.edu.cn,cn
Universidad de Salamanca,usal.es,es
Universidad de Málaga,uma.es,es
University of North Carolina Charlotte,uncc.edu,us
University of Nevada Las Vegas,unlv.edu,us
University of Pretoria,up.ac.za,za
University of Belgrade / Универзитет у Београду / Univerzitet u Beogradu,bg.ac.rs,rs
Université du Québec Montréal,uqam.ca,ca
China University of Geosciences / 中国地质大学,cug.edu.cn,cn
Michigan Technological University,mtu.edu,us
College of William & Mary,wm.edu,us
Université de Liège,uliege.be,be
Saint Louis University,slu.edu,us
Universität Potsdam,uni-potsdam.de,de
Université de Paris (Alliance Sorbonne Paris Cité),u-paris.fr,fr
Medizinische Universität Wien,meduniwien.ac.at,at
Ryerson University,ryerson.ca,ca
Pohang University of Science & Technology / 포항공과대학교,postech.ac.kr,kr
Pontificia Universidad Católica de Chile,uc.cl,cl
Brunel University,brunel.ac.uk,uk
New Mexico State University,nmsu.edu,us
University of Idaho,uidaho.edu,us
Universität Bielefeld,uni-bielefeld.de,de
Universität Regensburg,uni-regensburg.de,de
Universidade de Santiago de Compostela,usc.es,es
University of Science & Technology Beijing / 北京科技大学,ustb.edu.cn,cn
Montana State University,montana.edu,us
Università degli Studi di Catania,unict.it,it
University of Tromso / Universitetet i Tromsø,uit.no,no
University of Wyoming,uwyo.edu,us
Université de Nice / Université Nice Sophia Antipolis (Université Côte d'Azur),unice.fr,fr
Xidian University / 西安电子科技大学,xidian.edu.cn,cn
Hiroshima University / 広島大学,hiroshima-u.ac.jp,jp
Jefferson (Philadelphia University and Thomas Jefferson University),jefferson.edu,us
(1) Università Cattolica del Sacro Cuore,unicatt.it,it
Shanghai University / 上海大学,shu.edu.cn,cn
Middle East Technical University / Orta Doğu Teknik Üniversitesi,metu.edu.tr,tr
Waseda University / 早稲田大学,waseda.jp,jp
Universidad Nacional de La Plata,unlp.edu.ar,ar
Loyola University Chicago,luc.edu,us
King Abdullah University of Science & Technology,kaust.edu.sa,sa
Kobe University / 神戸大学,kobe-u.ac.jp,jp
University of Rhode Island,uri.edu,us
Medical University of South Carolina,web.musc.edu,us
Universidad de Oviedo,uniovi.es,es
Universidad Carlos III de Madrid,uc3m.es,es
University of Missouri Kansas City,umkc.edu,us
City University London,city.ac.uk,uk
University of Denver,du.edu,us
Shenzhen University / 深圳大学,szu.edu.cn,cn
Martin Luther Universität Halle Wittenberg,uni-halle.de,de
Lehigh University,lehigh.edu,us
University of Essex,essex.ac.uk,uk
Technische Universität Graz,tugraz.at,at
Swedish University of Agricultural Sciences / Sveriges Lantbruksuniversitet,slu.se,se
Université de Montpellier,umontpellier.fr,fr
Massey University,massey.ac.nz,nz
Heriot-Watt University,hw.ac.uk,uk
Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam,eur.nl,nl
